GKODE,GKODN
2622582.756,1200311.48
2617594.905,1222863.386
2601271.85,1204746.391
2615335.023,1169268.983
2607332.845,1178187.25
2614739.798,1211980.6
2595383.196,1220828.584
2609340.162,1192108.084
2592232.907,1199970.47
2628532.133,1232619.767
2585646.968,1215459.1
2585788.737,1221327.359
2622179.221,1196974.18
2585738.297,1226310.388
2594770.043,1236115.955
2625055.0,1232590.0
2595582.681,1203489.839
2585168.145,1214440.048
2573699.951,1212600.36
2623964.103,1221859.224
2613166.571,1187317.082
2657261.286,1178275.563
2622609.714,1197670.964
2605011.566,1161471.051
2621628.623,1196407.363
2623328.918,1202721.146
2587841.25,1210190.42
2597238.962,1204337.007
2590717.086,1212992.624
2585834.948,1220057.686
2584513.73,1208059.038
2648691.758,1178279.668
2611338.27,1168447.635
2602310.476,1196300.61
2601568.769,1196905.426
2613821.29,1191880.782
2604559.658,1206637.542
2617163.636,1194194.66
2614663.739,1157207.73
2622812.0,1207911.0
2648040.18,1176994.862
2588294.46,1198767.995
2588471.539,1206339.718
2613935.376,1192308.354
2613130.217,1232758.574
2622666.948,1172401.663
2604320.115,1197295.632
2632837.909,1176001.847
2600492.189,1145888.604
2619388.193,1176165.178
2619287.117,1206369.015
2630133.19,1198527.126
2581987.48,1206639.431
2601341.476,1201070.809
2604058.189,1189437.345
2615002.973,1218879.02
2613315.484,1177462.565
2628702.036,1231698.917
2598889.157,1202672.435
2600403.228,1166562.366
2589573.01,1194078.736
2586203.186,1221889.946
2617329.654,1179847.127
2601364.367,1198977.019
2607876.346,1193582.671
2614255.311,1175561.129
2580294.148,1227558.79
2599054.158,1164851.963
2619639.88,1235276.83
2595439.707,1157241.636
2595105.847,1236052.152
2602898.441,1197468.658
2596141.231,1185707.691
2610007.448,1192121.107
2605235.133,1190012.774
2603857.594,1207671.255
2587654.634,1147617.04
2616319.933,1207474.457
2618464.621,1185030.706
2584602.801,1211403.15
2574838.492,1213173.677
2584236.325,1218087.856
2632535.479,1170537.43
2618874.653,1205910.317
2613847.013,1191148.997
2611861.845,1219846.848
2607913.029,1213126.528
2655502.299,1176790.114
2615749.779,1231189.93
2579049.01,1206468.201
2660120.0,1173065.0
2588056.0,1147499.0
2618578.054,1163502.372
2597026.485,1236045.968
2608274.468,1199401.341
2588714.853,1198254.781
2585214.792,1199233.44
2589798.005,1209874.915
2626757.587,1216801.963
2614092.29,1176744.015
2610574.697,1180330.62
2608501.655,1194384.092
2603453.098,1199529.438
2606851.27,1202974.573
2618608.139,1228082.47
2616817.747,1158100.041
2611129.19,1178776.987
2627518.777,1207738.187
2658562.272,1176711.731
2615852.2,1177771.104
2608389.558,1185460.481
2626164.414,1231962.183
2598449.122,1195719.824
2630244.294,1218605.506
2622166.637,1197487.563
2577781.524,1205204.475
2608224.098,1200849.552
2645643.431,1176479.888
2595217.944,1236748.503
2574122.916,1205769.021
2615692.386,1160098.039
2626154.492,1227905.473
2589626.586,1217503.174
2591277.392,1184037.675
2595791.247,1198966.333
2635894.591,1161159.776
2615898.542,1177620.864
2618440.046,1171098.758
2632481.149,1222415.769
2633138.135,1169626.432
2604637.353,1194178.579
2625244.637,1204027.914
2597446.996,1236920.409
2577949.25,1204934.819
2616539.735,1158891.252
2627185.12,1223729.352
2610539.633,1213102.171
2595282.131,1198437.933
2588507.256,1145728.219
2589033.501,1193929.867
2608247.227,1198287.693
2605708.531,1198211.15
2657484.45,1174399.053
2594921.478,1224964.39
2574956.307,1206320.883
2619134.433,1215775.776
2612675.177,1181681.065
2612703.373,1183243.859
2616036.34,1165069.846
2598812.503,1145349.145
2607832.203,1182056.13
2616537.135,1234592.155
2626971.838,1228178.136
2585888.38,1219795.758
2602236.759,1202250.485
2612890.344,1219978.149
2615367.497,1180300.496
2572003.411,1207222.344
2622477.243,1184723.131
2620475.751,1205150.032
2580425.5,1232537.25
2616106.781,1194455.358
2635981.428,1160312.976
2615817.475,1177615.607
2574096.896,1210262.064
2631939.92,1217969.784
2611444.64,1214375.117
2619582.66,1225613.344
2613738.782,1176789.594
2588069.696,1221584.225
2613859.965,1174354.783
2592196.945,1185222.256
2599774.251,1185933.146
2604656.845,1196711.278
2592123.216,1204793.802
2613465.255,1178902.167
2596691.208,1211913.589
2595655.749,1204091.681
2627227.705,1199209.866
2609365.231,1197940.46
2618293.537,1228080.533
2629487.557,1189881.546
2617315.815,1189001.313
2592209.977,1206016.178
2591032.549,1229919.352
2611683.473,1211129.95
2600350.696,1143228.641
2594538.805,1225255.656
2595068.627,1197526.807
2604984.542,1197423.224
2593669.087,1235217.125
2591149.327,1193723.605
2585849.622,1220848.197
2585690.291,1155353.744
2590694.442,1209301.014
2600147.619,1197269.242
2658956.563,1174027.727
2626462.935,1207429.374
2607433.292,1210038.257
2618343.91,1228347.68
2585629.703,1217729.424
2585295.332,1217523.648
2595411.03,1220700.641
2624217.374,1158645.642
2583857.162,1225438.19
2628924.289,1227429.788
2586827.229,1221836.231
2659816.704,1174681.492
2617421.731,1170226.144
2590838.802,1207912.004
2620159.326,1205364.819
2628603.58,1234130.685
2656861.021,1178801.528
2600469.686,1199750.712
2625455.29,1228776.852
2615310.676,1197631.729
2603728.976,1206635.39
2612214.635,1220009.048
2586956.441,1225590.277
2600813.626,1143077.389
2581705.562,1232577.679
2591304.515,1222122.159
2623144.16,1207202.029
2609943.935,1192150.401
2599625.441,1200912.833
2604809.44,1207133.846
2612825.83,1182255.876
2625878.441,1182761.199
2595131.518,1236358.764
2601261.25,1199758.798
2605154.007,1180131.683
2600744.208,1199761.028
2630843.805,1210157.761
2585159.161,1221340.945
2618295.845,1152825.162
2609636.873,1180444.288
2593650.384,1223464.054
2658035.307,1177020.511
2597271.603,1195756.352
2600953.974,1198832.64
2619213.348,1209802.669
2601543.398,1208472.443
2609424.925,1198122.733
2612926.797,1176662.119
2599061.743,1197407.975
2599915.791,1146794.616
2618442.24,1171104.375
2600524.868,1145962.203
2614417.041,1209377.675
2594463.849,1235964.321
2619081.347,1236058.911
2606535.267,1200970.656
2618018.325,1217220.831
2601108.568,1205419.151
2635860.693,1164817.419
2641151.847,1164903.625
2612424.408,1179464.065
2578440.0,1210735.0
2615512.0,1158909.0
2623778.5,1223145.987
2616669.643,1204945.741
2629274.198,1234549.422
2595935.997,1210331.127
2596259.529,1210785.009
2640389.634,1176827.844
2604988.655,1211158.793
2566615.822,1222583.479
2605079.087,1200987.478
2603707.448,1197382.356
2596279.94,1198859.768
2627442.612,1224177.377
2608569.213,1194381.911
