xtf_id,Address,PostCode,Municipality,Canton,BeginningOfOperation,InitialPower,TotalPower,MainCategory,SubCategory,PlantCategory,_x,_y
99373,Belpstrasse 1,3113,Rubigen,BE,2015-09-25,3.27,24.77,maincat_2,subcat_2,plantcat_8,2608249,1193657
99938,Geissweg 1,3852,Ringgenberg,BE,2015-12-09,14.52,19.7,maincat_2,subcat_2,plantcat_8,2634481,1172379
100050,Hubacherweg 4,3295,Rüti bei Büren,BE,2015-09-11,6.21,6.21,maincat_2,subcat_2,plantcat_8,2597259,1221908
99650,Zälglistrasse 6,3428,Wiler bei Utzenstorf,BE,2015-11-17,6.5,10.57,maincat_2,subcat_2,plantcat_8,2609105,1222480
101379,Bubenbergstrasse 18,4950,Huttwil,BE,2016-03-24,14.62,14.62,maincat_2,subcat_2,plantcat_9,2630450,1218643
101931,Gerbe 73,4942,Walterswil,BE,2016-08-03,7.58,7.58,maincat_2,subcat_2,plantcat_9,2625680,1218143
99815,Industriestrasse 33,3362,Niederönz,BE,2015-12-14,29.4,29.4,maincat_2,subcat_2,plantcat_8,2619192,1226704
99681,Schulhausweg 10,3324,Hindelbank,BE,2015-09-29,52.52,52.52,maincat_2,subcat_2,plantcat_8,2607943,1210543
99600,Hünigenstrasse 37,3504,Niederhünigen,BE,2015-08-17,16.17,16.17,maincat_2,subcat_2,plantcat_8,2614294,1191997
99683,Amselweg 5,3427,Utzenstorf,BE,2015-09-11,8.68,8.68,maincat_2,subcat_2,plantcat_9,2609329,1220207
101936,Käsershaus 16B,4935,Leimiswil,BE,2015-11-04,16.24,16.24,maincat_2,subcat_2,plantcat_8,2624181,1220996
99704,Sonnhalde 14,3232,Ins,BE,2016-04-21,15.61,15.61,maincat_2,subcat_2,plantcat_9,2574120,1206308
99737,Tabor 3 (Parzelle 153),2608,Courtelary,BE,2015-09-25,3.42,3.42,maincat_2,subcat_2,plantcat_9,2572253,1225660
99842,Hofmättli 7,3661,Uetendorf,BE,2015-09-29,29.05,29.05,maincat_2,subcat_2,plantcat_8,2610697,1180067
100569,Solothurnstrasse 79,3303,Jegenstorf,BE,2015-09-30,31.46,31.46,maincat_2,subcat_2,plantcat_8,2605562,1211619
100567,Solothurnstrasse 77,3303,Jegenstorf,BE,2015-09-30,30.94,30.94,maincat_2,subcat_2,plantcat_8,2605565,1211581
100565,Solecht 39,3303,Jegenstorf,BE,2016-02-26,26.26,26.26,maincat_2,subcat_2,plantcat_8,2605490,1211684
99781,Falkenweg 2,3250,Lyss,BE,2015-09-30,20.52,20.52,maincat_2,subcat_2,plantcat_9,2589960,1212883
99803,Lammbachstrasse 3,3855,Brienz,BE,2016-02-02,10.75,10.75,maincat_2,subcat_2,plantcat_9,2646619,1178181
102412,Aefligenstrasse 1-20,3312,Fraubrunnen,BE,2016-09-19,410.45,577.31,maincat_2,subcat_2,plantcat_9,2606951,1214996
99913,Chemin de la tour de Moron 15,2735,Malleray,BE,2015-09-29,9.72,9.72,maincat_2,subcat_2,plantcat_8,2587732,1234605
99840,Bierhübeli 8,3257,Grossaffoltern,BE,2016-06-29,10.8,10.8,maincat_2,subcat_2,plantcat_8,2594560,1213407
99987,Auweg 9,3074,Muri b. Bern,BE,2016-02-22,5.76,5.76,maincat_2,subcat_2,plantcat_9,2604157,1196993
99845,Seftaustrasse 23,3047,Bremgarten bei Bern,BE,2015-09-26,21.21,21.21,maincat_2,subcat_2,plantcat_9,2599959,1202305
99807,Rue de Beuchemaitin 3,2605,Sonceboz-Sombeval,BE,2015-11-11,7.69,7.69,maincat_2,subcat_2,plantcat_8,2580400,1227416
100378,Iselweg 5a,3752,Wimmis,BE,2015-11-10,17.85,17.85,maincat_2,subcat_2,plantcat_8,2615289,1169774
