x,y
2625543,1228872
2625539,1228908
2626451,1230306
2626398,1229330
2626547,1230798
2626169,1230575
2625987,1230495
2628971,1227375
2626219,1227901
2626994,1229100
2626668,1228299
2625413,1228742
2625444,1228720
2626448,1228230
2626538,1230704
2630845,1228520
2628579,1227420
2628583,1227452
2625490,1229211
2626219,1228001
2628522,1227699
2625564,1228802
2626829,1231095
2624768,1229600
2626062,1228546
2625653,1228935
2628838,1228064
2626579,1229785
2626111,1228741
2625742,1230208
2626850,1228714
2626795,1228173
2626928,1228049
2625662,1227874
2625688,1227854
2625621,1228668
2625337,1228530
2627567,1229353
2628769,1227883
2625157,1229645
2627675,1229311
2625731,1230594
2626343,1227337
2626323,1227371
2626291,1227361
2626390,1227273
2626373,1227375
2626268,1226544
2626760,1226234
2626708,1226179
2627038,1226483
2626918,1226592
2627086,1226546
2626981,1226807
2626937,1227199
2626723,1226931
2626588,1227241
2627252,1226786
2627103,1226482
2627176,1226385
2626334,1226930
2627151,1226397
2626484,1227185
2626523,1227078
2626947,1226445
2627299,1226771
2626536,1226986
2626553,1226983
2627229,1226781
2626915,1226489
2626760,1226026
2626450,1226526
2626984,1225671
2626904,1224180
2626885,1220376
2626700,1220812
2626473,1220538
2626469,1220719
2626790,1220977
2626761,1221592
2626177,1221965
2624181,1220996
2623630,1221009
2626765,1223953
2627177,1224123
2627623,1224583
2627547,1224598
2627499,1224198
2627364,1223974
2627618,1223917
2629362,1221620
2627303,1223279
2626504,1221649
2625901,1222165
2624332,1222348
2626951,1224104
2626899,1224132
2627590,1223928
2627490,1223638
2628489,1223369
2627266,1223758
2629750,1221505
2624177,1221340
2627100,1224492
2631026,1226321
2630977,1226029
2631122,1226036
2631230,1226678
2631826,1224421
2631158,1226025
2631856,1226643
2630742,1225476
2630646,1225521
2630723,1225549
2631478,1225498
2631357,1225746
2631495,1225773
2631355,1225307
2631193,1225324
2631172,1225345
2631131,1225713
2631634,1225286
2630932,1225652
2630920,1225672
2631352,1226087
2623874,1218241
2623017,1218135
2630593,1223272
2631098,1223377
2630455,1223713
2630470,1223737
2628706,1231944
2628724,1232440
2629150,1232432
2629146,1232738
2628872,1232824
2628261,1231875
2628561,1231781
2628654,1231793
2628861,1231960
2628886,1231917
2629147,1231900
2629103,1231909
2629081,1231766
2629403,1231688
2629281,1231705
2629466,1231682
2629646,1231507
2629674,1231700
2629729,1231663
2629711,1231688
2628543,1232649
2628358,1231930
2629157,1232811
2629252,1231750
2628578,1231717
2629117,1231785
2628667,1232459
2628599,1231772
2629744,1231528
2629670,1231358
2628434,1232647
2628409,1232701
2629228,1232287
2629179,1219933
2629346,1219863
2629318,1219871
2629344,1219854
2629328,1219693
2628327,1220943
2628554,1220542
2628980,1220668
2628936,1220654
2628623,1220615
2628774,1220797
2628793,1220726
2629105,1220633
2629154,1220644
2628899,1220772
2629432,1219924
